month,container_throughput
1995-01,946.4
1995-02,867.5
1995-03,969.5
1995-04,960.1
1995-05,988.3
1995-06,973
1995-07,1037.4
1995-08,1046.5
1995-09,977.5
1995-10,1047.9
1995-11,986.9
1995-12,1045.1
1996-01,1047.7
1996-02,958.4
1996-03,1021.5
1996-04,1041
1996-05,1093.6
1996-06,1073.7
1996-07,1143.9
1996-08,1128.5
1996-09,1085.7
1996-10,1137.7
1996-11,1098.7
1996-12,1114.1
1997-01,1105.2
1997-02,963.3
1997-03,1187.1
1997-04,1139.7
1997-05,1180.4
1997-06,1183.7
1997-07,1250.6
1997-08,1235.6
1997-09,1207.1
1997-10,1272
1997-11,1198.9
1997-12,1212.4
1998-01,1144.1
1998-02,1048
1998-03,1312.2
1998-04,1256.4
1998-05,1278.5
1998-06,1355.1
1998-07,1327.4
1998-08,1286.2
1998-09,1275.3
1998-10,1289.8
1998-11,1268.2
1998-12,1294.4
1999-01,1198.2
1999-02,1144
1999-03,1321.7
1999-04,1292.7
1999-05,1369.4
1999-06,1357.8
1999-07,1381.6
1999-08,1426
1999-09,1345.8
1999-10,1381.8
1999-11,1338.4
1999-12,1387.6
2000-01,1333.9
2000-02,1383
2000-03,1512.4
2000-04,1455.2
2000-05,1494.1
2000-06,1486.3
2000-07,1492.5
2000-08,1507.1
2000-09,1393.9
2000-10,1431
2000-11,1325.5
2000-12,1272
2001-01,1181.3
2001-02,1156
2001-03,1341.8
2001-04,1265
2001-05,1307.8
2001-06,1294.5
2001-07,1353.5
2001-08,1349.6
2001-09,1332.5
2001-10,1359.9
2001-11,1302.7
2001-12,1326.4
2002-01,1322.5
2002-02,1256.3
2002-03,1435
2002-04,1392.6
2002-05,1452.8
2002-06,1421.5
2002-07,1497.5
2002-08,1473.7
2002-09,1430.1
2002-10,1437.6
2002-11,1406.8
2002-12,1414.6
2003-01,1402.8
2003-02,1319.8
2003-03,1527.2
2003-04,1452.4
2003-05,1516.4
2003-06,1546
2003-07,1630
2003-08,1622.6
2003-09,1550.7
2003-10,1628.9
2003-11,1563.9
2003-12,1649.7
2004-01,1612.9
2004-02,1482.2
2004-03,1742.6
2004-04,1707.7
2004-05,1792.5
2004-06,1857.9
2004-07,1871.1
2004-08,1878
2004-09,1858.6
2004-10,1858.9
2004-11,1759.7
2004-12,1907.1
2005-01,1848.2
2005-02,1690.2
2005-03,1984.8
2005-04,1890.3
2005-05,1971.3
2005-06,1992.4
2005-07,1985.5
2005-08,2039.8
2005-09,1942.7
2005-10,1990.7
2005-11,1876.1
2005-12,1980.3
2006-01,1948.3
2006-02,1759.9
2006-03,2053
2006-04,1958.3
2006-05,2066.8
2006-06,2016.9
2006-07,2127.9
2006-08,2270
2006-09,2130.3
2006-10,2175.4
2006-11,2097.2
2006-12,2188.4
2007-01,2170.5
2007-02,2117.7
2007-03,2290.9
2007-04,2221.4
2007-05,2349.1
2007-06,2320.6
2007-07,2444.1
2007-08,2456.7
2007-09,2356.1
2007-10,2402.8
2007-11,2323.3
2007-12,2482.2
2008-01,2455.6
2008-02,2308.4
2008-03,2567.1
2008-04,2534.1
2008-05,2633
2008-06,2527
2008-07,2729.1
2008-08,2641.5
2008-09,2555.7
2008-10,2522
2008-11,2288.5
2008-12,2156.3
2009-01,1974.4
2009-02,1850.5
2009-03,2193.3
2009-04,2085.1
2009-05,2098.8
2009-06,2097
2009-07,2220.6
2009-08,2276.5
2009-09,2145.4
2009-10,2314.3
2009-11,2326.9
2009-12,2283.8
2010-01,2332.3
2010-02,2183.2
2010-03,2409.6
2010-04,2320.8
2010-05,2422.5
2010-06,2395
2010-07,2520.8
2010-08,2426.5
2010-09,2233.8
2010-10,2392.1
2010-11,2415.5
2010-12,2379
2011-01,2416.1
2011-02,2146.9
2011-03,2504.2
2011-04,2461.1
2011-05,2571.8
2011-06,2482.3
2011-07,2639.5
2011-08,2625.7
2011-09,2410.2
2011-10,2568.7
2011-11,2472.1
2011-12,2639
2012-01,2542.8
2012-02,2345.4
2012-03,2648.7
2012-04,2600
2012-05,2793
2012-06,2710.4
2012-07,2769.7
2012-08,2744.7
2012-09,2609.1
2012-10,2675.4
2012-11,2589.1
2012-12,2621.1
2013-01,2629.7
2013-02,2361.6
2013-03,2643.7
2013-04,2627.7
2013-05,2826.6
2013-06,2725.2
2013-07,2952.6
2013-08,2818.2
2013-09,2716
2013-10,2823.9
2013-11,2694.3
2013-12,2759.3
2014-01,2685.9
2014-02,2413.2
2014-03,2835.3
2014-04,2791.4
2014-05,2942.7
2014-06,2837.5
2014-07,2945.2
2014-08,2869.3
2014-09,2809.9
2014-10,2971.4
2014-11,2858.4
2014-12,2909.1
2015-01,2781.5
2015-02,2607.5
2015-03,2735.9
2015-04,2633.1
2015-05,2622.9
2015-06,2616.8
2015-07,2554.5
2015-08,2525.9
2015-09,2427.7
2015-10,2497.1
2015-11,2404.4
2015-12,2515.2
2016-01,2488.4
2016-02,2383.8
2016-03,2518
2016-04,2528.1
2016-05,2665.4
2016-06,2597.7
2016-07,2571.4
2016-08,2682.3
2016-09,2597
2016-10,2533.1
2016-11,2573.1
2016-12,2765.5
2017-01,2623.3
2017-02,2297.2
2017-03,2691.6
2017-04,2724.4
2017-05,2990.9
2017-06,2822.4
2017-07,2877
2017-08,2947.4
2017-09,2800
2017-10,2957.2
2017-11,2977.1
2017-12,2958.1
2018-01,2992.9
2018-02,2822.9
2018-03,3048.8
2018-04,2915.3
2018-05,3182.8
2018-06,3058.7
2018-07,3133.5
2018-08,3156.3
2018-09,2988.9
2018-10,3153.1
2018-11,3014.7
2018-12,3131.4
2019-01,2999.1
2019-02,2740.5
2019-03,3163.9
2019-04,2992.1
2019-05,3137.8
2019-06,2997
2019-07,3235.4
2019-08,3133.7
2019-09,3093.9
2019-10,3234.4
2019-11,3267.7
2019-12,3260.5
2020-01,3182.6
2020-02,2898.7
2020-03,3197.9
2020-04,2843.5
2020-05,2806.7
2020-06,2907.7
2020-07,3016.3
2020-08,3174.7
2020-09,3207.7
