year,level_1,level_2,value
1960,Total Life Expectancy At Birth (Residents),Male Life Expectancy At Birth (Residents),61.2
1960,Total Life Expectancy At Birth (Residents),Female Life Expectancy At Birth (Residents),65
1960,Total Life Expectancy At Age 65 Years (Residents),Male Life Expectancy At Age 65 Years (Residents),7.8
1960,Total Life Expectancy At Age 65 Years (Residents),Female Life Expectancy At Age 65 Years (Residents),8.8
1965,Total Life Expectancy At Birth (Residents),Male Life Expectancy At Birth (Residents),62.8
1965,Total Life Expectancy At Birth (Residents),Female Life Expectancy At Birth (Residents),66.6
1965,Total Life Expectancy At Age 65 Years (Residents),Male Life Expectancy At Age 65 Years (Residents),7.8
1965,Total Life Expectancy At Age 65 Years (Residents),Female Life Expectancy At Age 65 Years (Residents),8.8
1970,Total Life Expectancy At Birth (Residents),Male Life Expectancy At Birth (Residents),64.1
1970,Total Life Expectancy At Birth (Residents),Female Life Expectancy At Birth (Residents),67.8
1970,Total Life Expectancy At Age 65 Years (Residents),Male Life Expectancy At Age 65 Years (Residents),8
1970,Total Life Expectancy At Age 65 Years (Residents),Female Life Expectancy At Age 65 Years (Residents),8.9
1975,Total Life Expectancy At Birth (Residents),Male Life Expectancy At Birth (Residents),65.1
1975,Total Life Expectancy At Birth (Residents),Female Life Expectancy At Birth (Residents),68.8
1975,Total Life Expectancy At Age 65 Years (Residents),Male Life Expectancy At Age 65 Years (Residents),8.2
1975,Total Life Expectancy At Age 65 Years (Residents),Female Life Expectancy At Age 65 Years (Residents),8.9
1980,Total Life Expectancy At Birth (Residents),Male Life Expectancy At Birth (Residents),69.8
1980,Total Life Expectancy At Birth (Residents),Female Life Expectancy At Birth (Residents),74.7
1980,Total Life Expectancy At Age 65 Years (Residents),Male Life Expectancy At Age 65 Years (Residents),12.6
1980,Total Life Expectancy At Age 65 Years (Residents),Female Life Expectancy At Age 65 Years (Residents),15.4
1981,Total Life Expectancy At Birth (Residents),Male Life Expectancy At Birth (Residents),70.1
1981,Total Life Expectancy At Birth (Residents),Female Life Expectancy At Birth (Residents),75.2
1981,Total Life Expectancy At Age 65 Years (Residents),Male Life Expectancy At Age 65 Years (Residents),12.7
1981,Total Life Expectancy At Age 65 Years (Residents),Female Life Expectancy At Age 65 Years (Residents),15.6
