year,level_1,value
1960,Total Life Expectancy At Birth (Residents),62.9
1960,Total Life Expectancy At Age 65 Years (Residents),8.3
1965,Total Life Expectancy At Birth (Residents),64.5
1965,Total Life Expectancy At Age 65 Years (Residents),8.3
1970,Total Life Expectancy At Birth (Residents),65.8
1970,Total Life Expectancy At Age 65 Years (Residents),8.4
1975,Total Life Expectancy At Birth (Residents),66.8
1975,Total Life Expectancy At Age 65 Years (Residents),8.5
1980,Total Life Expectancy At Birth (Residents),72.1
1980,Total Life Expectancy At Age 65 Years (Residents),14
1981,Total Life Expectancy At Birth (Residents),72.5
1981,Total Life Expectancy At Age 65 Years (Residents),14.2
1982,Total Life Expectancy At Birth (Residents),72.6
1982,Total Life Expectancy At Age 65 Years (Residents),14.2
1983,Total Life Expectancy At Birth (Residents),73
1983,Total Life Expectancy At Age 65 Years (Residents),14.4
1984,Total Life Expectancy At Birth (Residents),73.3
1984,Total Life Expectancy At Age 65 Years (Residents),14.6
1985,Total Life Expectancy At Birth (Residents),73.9
1985,Total Life Expectancy At Age 65 Years (Residents),14.9
1986,Total Life Expectancy At Birth (Residents),74.2
1986,Total Life Expectancy At Age 65 Years (Residents),15.1
1987,Total Life Expectancy At Birth (Residents),74.5
1987,Total Life Expectancy At Age 65 Years (Residents),15.3
1988,Total Life Expectancy At Birth (Residents),74.7
1988,Total Life Expectancy At Age 65 Years (Residents),15.4
1989,Total Life Expectancy At Birth (Residents),74.9
1989,Total Life Expectancy At Age 65 Years (Residents),15.5
1990,Total Life Expectancy At Birth (Residents),75.3
1990,Total Life Expectancy At Age 65 Years (Residents),15.7
1991,Total Life Expectancy At Birth (Residents),75.6
1991,Total Life Expectancy At Age 65 Years (Residents),15.9
1992,Total Life Expectancy At Birth (Residents),75.9
1992,Total Life Expectancy At Age 65 Years (Residents),15.9
1993,Total Life Expectancy At Birth (Residents),76.1
1993,Total Life Expectancy At Age 65 Years (Residents),15.9
1994,Total Life Expectancy At Birth (Residents),76.2
1994,Total Life Expectancy At Age 65 Years (Residents),15.9
1995,Total Life Expectancy At Birth (Residents),76.3
1995,Total Life Expectancy At Age 65 Years (Residents),16
1996,Total Life Expectancy At Birth (Residents),76.6
1996,Total Life Expectancy At Age 65 Years (Residents),16.1
1997,Total Life Expectancy At Birth (Residents),76.9
1997,Total Life Expectancy At Age 65 Years (Residents),16.3
1998,Total Life Expectancy At Birth (Residents),77.3
1998,Total Life Expectancy At Age 65 Years (Residents),16.5
1999,Total Life Expectancy At Birth (Residents),77.6
1999,Total Life Expectancy At Age 65 Years (Residents),16.6
2000,Total Life Expectancy At Birth (Residents),78
2000,Total Life Expectancy At Age 65 Years (Residents),16.9
2001,Total Life Expectancy At Birth (Residents),78.3
2001,Total Life Expectancy At Age 65 Years (Residents),17.1
2002,Total Life Expectancy At Birth (Residents),78.6
2002,Total Life Expectancy At Age 65 Years (Residents),17.3
2003,Total Life Expectancy At Birth (Residents),79.1
2003,Total Life Expectancy At Age 65 Years (Residents),18
2004,Total Life Expectancy At Birth (Residents),79.6
2004,Total Life Expectancy At Age 65 Years (Residents),18.4
2005,Total Life Expectancy At Birth (Residents),80.1
2005,Total Life Expectancy At Age 65 Years (Residents),18.7
2006,Total Life Expectancy At Birth (Residents),80.3
2006,Total Life Expectancy At Age 65 Years (Residents),18.9
2007,Total Life Expectancy At Birth (Residents),80.6
2007,Total Life Expectancy At Age 65 Years (Residents),19
2008,Total Life Expectancy At Birth (Residents),80.9
2008,Total Life Expectancy At Age 65 Years (Residents),19.3
2009,Total Life Expectancy At Birth (Residents),81.4
2009,Total Life Expectancy At Age 65 Years (Residents),19.6
2010,Total Life Expectancy At Birth (Residents),81.7
2010,Total Life Expectancy At Age 65 Years (Residents),19.8
2011,Total Life Expectancy At Birth (Residents),81.9
2011,Total Life Expectancy At Age 65 Years (Residents),20
2012,Total Life Expectancy At Birth (Residents),82.1
2012,Total Life Expectancy At Age 65 Years (Residents),20.2
2013,Total Life Expectancy At Birth (Residents),82.4
2013,Total Life Expectancy At Age 65 Years (Residents),20.4
2014,Total Life Expectancy At Birth (Residents),82.6
2014,Total Life Expectancy At Age 65 Years (Residents),20.6
2015,Total Life Expectancy At Birth (Residents),82.9
2015,Total Life Expectancy At Age 65 Years (Residents),20.8
2016,Total Life Expectancy At Birth (Residents),83
2016,Total Life Expectancy At Age 65 Years (Residents),20.8
2017,Total Life Expectancy At Birth (Residents),83.2
2017,Total Life Expectancy At Age 65 Years (Residents),21
2018,Total Life Expectancy At Birth (Residents),83.2
2018,Total Life Expectancy At Age 65 Years (Residents),21.1
